card_number,card_holder_name,number_of_persons_in_family,booking_centre,date,session,current_score
9423434923,Padala Karthik,4,Gandi,2025-10-22,Evening,100
2570355948,Priya Kumar,2,Gandi,2025-10-22,Evening,50
1941095722,Rohan Sharma,6,Gandi,2025-10-22,Evening,100
1900386678,Rohan Singh,2,Gandi,2025-10-22,Evening,35
5627443151,Priya Kumar,1,Gandi,2025-10-22,Evening,53
9684188988,Meera Patel,3,Gandi,2025-10-25,Morning,62
1808593389,Ravi Reddy,5,Chintal,2025-10-27,Morning,93
9211497211,Neha Singh,3,Gandi,2025-10-27,Morning,76
8378555085,Dhanush Reddy,3,Chintal,2025-10-25,Evening,100
3256923259,Aarav Verma,2,KPHB,2025-10-28,Evening,100
1234567890,Arjun Iyer,3,Gandi,2025-10-26,Evening,80
2345678901,Divya Rao,4,Gandi,2025-10-27,Evening,90
3456789012,Suresh Menon,2,Gandi,2025-10-28,Evening,45
4567890123,Lakshmi Desai,5,Gandi,2025-10-29,Evening,100
5678901234,Aditya Kulkarni,1,Gandi,2025-10-30,Evening,70
6789012345,Nisha Pillai,6,Gandi,2025-10-31,Evening,85
7890123456,Vivek Shetty,3,Gandi,2025-10-26,Evening,60
8901234567,Shalini Bose,2,Gandi,2025-10-27,Evening,95
9012345678,Manish Agarwal,4,Gandi,2025-10-28,Evening,50
0123456789,Pooja Saxena,5,Gandi,2025-10-29,Evening,100
1234567800,Rajesh Malhotra,3,Gandi,2025-10-30,Evening,75
3456789013,Swati Jha,4,Gandi,2025-10-31,Evening,100
4567890124,Kiran Bedi,1,Gandi,2025-10-26,Evening,65
5678901235,Deepak Chawla,6,Gandi,2025-10-27,Evening,90
6789012346,Anita Yadav,3,Gandi,2025-10-28,Evening,80
7890123457,Siddharth Mehra,2,Gandi,2025-10-29,Evening,55
8901234568,Preeti Shah,5,Gandi,2025-10-30,Evening,100
9012345679,Nikhil Dutta,4,Gandi,2025-10-31,Evening,70
0123456790,Geeta Rani,3,Gandi,2025-10-26,Evening,85
1234567891,Vinod Nair,1,Gandi,2025-10-27,Evening,40
2345678903,Tara Suresh,6,Gandi,2025-10-28,Evening,95
3456789014,Ramesh Kapoor,2,Gandi,2025-10-29,Evening,60
4567890125,Shilpa Das,5,Gandi,2025-10-30,Evening,100
5678901236,Ajay Vyas,4,Gandi,2025-10-31,Evening,75
6789012347,Kavita Rana,3,Shapure,2025-10-26,Morning,50
7890123458,Prakash Saini,2,Shapure,2025-10-27,Morning,90
8901234569,Monika Gupta,1,Shapure,2025-10-28,Morning,80
9012345680,Sunil Pawar,6,Gandi,2025-10-30,Morning,100
0123456791,Reena Kumari,4,Shapure,2025-10-30,Morning,65
1234567892,Anil Sethi,3,Chintal,2025-10-30,Morning,70
2345678904,Smita Patil,5,KPHB,2025-11-03,Morning,85
3456789015,Hari Om,2,KPHB,2025-11-03,Morning,55
4567890126,Deepa Nair,1,KPHB,2025-11-03,Morning,100
5678901237,Vijay Raghav,4,Chintal,2025-11-03,Evening,90
6789012348,Seema Kohli,3,Chintal,2025-11-03,Morning,60
7890123459,Arvind Sharma,6,Chintal,2025-11-03,Evening,75
8901234570,Neelam Tyagi,2,Chintal,2025-11-03,Evening,80
9012345681,Rahul Bhatt,5,Chintal,2025-11-03,Morning,100
0123456792,Sarika Jain,4,Chintal,2025-11-03,Morning,70
1234567893,Kunal Roy,3,Chintal,2025-11-03,Evening,45
2345678905,Meena Vyas,1,Chintal,2025-11-03,Evening,90
3456789016,Alok Mishra,6,Chintal,2025-11-03,Evening,100
1234567904,Meena Vyas,2,Chintal,2025-11-20,Evening,100
