card_number,card_holder_name,mobile_number,number_of_persons_in_family,score
2570355948,Priya Kumar,9287954935,2,50
1941095722,Rohan Sharma,9578406268,6,95
6646595554,Ravi Singh,8773348002,2,100
5847747976,Sanjay Nair,6691341522,3,100
9583272981,Rohan Kumar,7493007038,4,100
4233130503,Aarav Kumar,6524253692,4,100
1374911945,Sanjay Nair,8169936033,2,100
3265417635,Rohan Singh,6875394352,3,100
1887443451,Meera Gupta,9883772428,3,100
9423434923,Padala Karthik,7569279575,4,100
3419514670,Sanjay Singh,7717515724,4,100
6264292399,Ravi Reddy,7184022389,5,100
9839644587,Vikram Kumar,8426660057,2,100
9211497211,Neha Singh,7114873298,3,76
2002841946,Ananya Singh,8384846598,6,100
9341000130,Rohan Joshi,7016332047,4,100
8286691814,Karthik Verma,9517145011,5,100
2495171687,Ananya Verma,8863879084,3,100
1808593389,Ravi Reddy,9513274054,5,93
8650402581,Aarav Kumar,7497252480,5,100
4165666503,Aarav Gupta,6711680276,2,100
1535410326,Vikram Kumar,9561213890,6,100
8279299119,Neha Chowdhury,7758868188,2,100
9021724639,Vikram Gupta,6215174242,3,100
8910877949,Ravi Nair,6038677247,4,100
5077245333,Ravi Gupta,8875192276,3,100
3880184702,Rohan Patel,9557112280,2,100
8756291233,Ananya Nair,7809072053,6,100
6966814125,Ananya Patel,9277668103,3,100
8818283208,Priya Kumar,7465582581,6,100
8580319506,Neha Reddy,8310667596,5,100
3256923259,Aarav Verma,9905263417,2,100
7529990257,Vikram Gupta,9494675523,3,100
9645584733,Neha Chowdhury,8010530380,5,10
7333790153,Rohan Gupta,8106990041,3,100
3331452684,Sanjay Chowdhury,6729405978,1,100
7451814137,Vikram Reddy,6407817324,4,100
8378555085,Dhanush Reddy,9087123939,3,100
5324446550,Ananya Singh,7677346474,3,100
5247471537,Rohan Nair,8643140257,1,100
3095713124,Meera Singh,8680736354,1,100
2226833898,Sanjay Joshi,8946865460,3,100
9296889640,Karthik Chowdhury,8637618321,4,100
6471424416,Priya Sharma,9366766265,4,100
4612528269,Ananya Nair,7652846750,4,100
5239485953,Karthik Kumar,6155534483,2,100
2089196407,Sanjay Gupta,9924040291,4,100
9684188988,Meera Patel,7049588478,3,62
5627443151,Priya Kumar,7998677198,1,53
1900386678,Rohan Singh,9380582021,2,35
1234567890,Arjun Iyer,9876543210,3,80
2345678901,Divya Rao,8765432109,4,90
3456789012,Suresh Menon,7654321098,2,45
4567890123,Lakshmi Desai,6543210987,5,100
5678901234,Aditya Kulkarni,9432109876,1,70
6789012345,Nisha Pillai,8321098765,6,85
7890123456,Vivek Shetty,7210987654,3,60
8901234567,Shalini Bose,6109876543,2,95
9012345678,Manish Agarwal,9898765432,4,50
0123456789,Pooja Saxena,8787654321,5,100
1234567800,Rajesh Malhotra,7676543210,3,75
2345678902,Akshay Thakur,6565432109,2,30
3456789013,Swati Jha,9454321098,4,100
4567890124,Kiran Bedi,8343210987,1,65
5678901235,Deepak Chawla,7232109876,6,90
6789012346,Anita Yadav,6121098765,3,80
7890123457,Siddharth Mehra,9010987654,2,55
8901234568,Preeti Shah,7909876543,5,100
9012345679,Nikhil Dutta,9898765432,4,70
0123456790,Geeta Rani,8787654321,3,85
1234567891,Vinod Nair,7676543210,1,40
2345678903,Tara Suresh,6565432109,6,95
3456789014,Ramesh Kapoor,9454321098,2,60
4567890125,Shilpa Das,8343210987,5,100
5678901236,Ajay Vyas,7232109876,4,75
6789012347,Kavita Rana,6121098765,3,50
7890123458,Prakash Saini,9010987654,2,90
8901234569,Monika Gupta,7909876543,1,80
9012345680,Sunil Pawar,9898765432,6,100
0123456791,Reena Kumari,8787654321,4,65
1234567892,Anil Sethi,7676543210,3,70
2345678904,Smita Patil,6565432109,5,85
3456789015,Hari Om,9454321098,2,55
4567890126,Deepa Nair,8343210987,1,100
5678901237,Vijay Raghav,7232109876,4,90
6789012348,Seema Kohli,6121098765,3,60
7890123459,Arvind Sharma,9010987654,6,75
8901234570,Neelam Tyagi,7909876543,2,80
9012345681,Rahul Bhatt,9898765432,5,100
0123456792,Sarika Jain,8787654321,4,70
1234567893,Kunal Roy,7676543210,3,45
2345678905,Meena Vyas,6565432109,1,90
3456789016,Alok Mishra,9454321098,6,100
4567890127,Pallavi Sen,8343210987,2,65
5678901238,Sanjana Rani,7232109876,4,80
6789012349,Gaurav Dube,6121098765,5,95
7890123460,Chitra Iyer,9010987654,3,50
8901234571,Naveen Kumar,7909876543,2,85
9012345682,Sweta Pal,9898765432,1,70
0123456793,Mohan Lal,8787654321,6,100
1234567894,Radha Devi,7676543210,4,60
2345678906,Pramod Singh,6565432109,3,75
3456789017,Anu Sharma,9454321098,5,90
4567890128,Suman Rawat,8343210987,2,80
5678901239,Amitabh Das,7232109876,1,55
6789012350,Ritu Negi,6121098765,4,100
7890123461,Vinita Rao,9010987654,6,70
8901234572,Sachin Vohra,7909876543,3,85
9012345683,Pankaj Goyal,9898765432,2,60
0123456794,Neetu Bala,8787654321,5,100
1234567895,Mahesh Kulkarni,7676543210,4,90
2345678907,Shobha Menon,6565432109,3,50
3456789018,Rajiv Saxena,9454321098,1,75
4567890129,Anjali Thakur,8343210987,6,80
5678901240,Suresh Jha,7232109876,2,100
6789012351,Priya Bedi,6121098765,4,65
7890123462,Vikrant Chawla,9010987654,5,70
8901234573,Manju Yadav,7909876543,3,85
9012345684,Nitin Mehra,9898765432,1,60
0123456795,Shalini Shah,8787654321,6,100
1234567896,Akash Dutta,7676543210,4,90
2345678908,Poonam Rani,6565432109,2,55
3456789019,Santosh Nair,9454321098,5,80
4567890130,Reema Suresh,8343210987,3,100
5678901241,Deepak Kapoor,7232109876,1,70
6789012352,Sarita Das,6121098765,4,85
7890123463,Praveen Vyas,9010987654,6,60
8901234574,Anita Raghav,7909876543,2,95
9012345685,Vijay Kohli,9898765432,5,100
0123456796,Sejal Sharma,8787654321,3,75
1234567897,Rakesh Saini,7676543210,1,50
2345678909,Monika Gupta,6565432109,4,80
3456789020,Sunita Pawar,9454321098,6,100
4567890131,Kiran Kumari,8343210987,2,65
5678901242,Ajay Sethi,7232109876,5,90
6789012353,Shilpa Patil,6121098765,3,70
7890123464,Hari Om,9010987654,1,85
8901234575,Deepa Nair,7909876543,4,100
9012345686,Vijay Raghav,9898765432,6,60
0123456797,Seema Kohli,8787654321,2,75
1234567898,Arvind Sharma,7676543210,5,80
2345678910,Neelam Tyagi,6565432109,3,100
3456789021,Rahul Bhatt,9454321098,1,55
4567890132,Sarika Jain,8343210987,4,70
5678901243,Kunal Roy,7232109876,6,85
6789012354,Meena Vyas,6121098765,2,90
7890123465,Alok Mishra,9010987654,5,100
8901234576,Pallavi Sen,7909876543,3,65
9012345687,Sanjana Rani,9898765432,1,80
0123456798,Gaurav Dube,8787654321,4,95
1234567899,Chitra Iyer,7676543210,6,60
2345678911,Naveen Kumar,6565432109,2,75
3456789022,Sweta Pal,9454321098,5,100
4567890133,Mohan Lal,8343210987,3,70
5678901244,Radha Devi,7232109876,1,85
6789012355,Pramod Singh,6121098765,4,90
7890123466,Anu Sharma,9010987654,6,55
8901234577,Suman Rawat,7909876543,2,100
9012345688,Amitabh Das,9898765432,5,80
0123456799,Ritu Negi,8787654321,3,65
1234567900,Vinita Rao,7676543210,1,90
2345678912,Sachin Vohra,6565432109,4,100
3456789023,Pankaj Goyal,9454321098,6,70
4567890134,Neetu Bala,8343210987,2,85
5678901245,Mahesh Kulkarni,7232109876,5,60
6789012356,Shobha Menon,6121098765,3,75
7890123467,Rajiv Saxena,9010987654,1,80
8901234578,Anjali Thakur,7909876543,4,100
9012345689,Suresh Jha,9898765432,6,90
0123456800,Priya Bedi,8787654321,2,55
1234567901,Vikrant Chawla,7676543210,5,70
2345678913,Manju Yadav,6565432109,3,85
3456789024,Nitin Mehra,9454321098,1,100
4567890135,Shalini Shah,8343210987,4,60
5678901246,Akash Dutta,7232109876,6,75
6789012357,Poonam Rani,6121098765,2,80
7890123468,Santosh Nair,9010987654,5,100
8901234579,Reema Suresh,7909876543,3,65
9012345690,Deepak Kapoor,9898765432,1,90
0123456801,Sarita Das,8787654321,4,70
1234567902,Praveen Vyas,7676543210,6,85
2345678914,Anita Raghav,6565432109,2,100
3456789025,Vijay Kohli,9454321098,5,60
4567890136,Sejal Sharma,8343210987,3,75
5678901247,Rakesh Saini,7232109876,1,80
6789012358,Monika Gupta,6121098765,4,100
7890123469,Sunita Pawar,9010987654,6,90
9012345691,Kiran Kumari,9898765432,2,55
0123456802,Ajay Sethi,8787654321,5,70
1234567903,Shilpa Patil,7676543210,3,85
2345678915,Hari Om,6565432109,1,100
3456789026,Deepa Nair,9454321098,4,60
4567890137,Vijay Raghav,8343210987,6,75
5678901248,Seema Kohli,7232109876,2,80
6789012359,Arvind Sharma,6121098765,5,100
7890123470,Neelam Tyagi,9010987654,3,65
8901234580,Rahul Bhatt,7909876543,1,90
9012345692,Sarika Jain,9898765432,4,70
0123456803,Kunal Roy,8787654321,6,85
1234567904,Meena Vyas,7676543210,2,100
2345678916,Alok Mishra,6565432109,5,60
3456789027,Pallavi Sen,9454321098,3,75
4567890138,Sanjana Rani,8343210987,1,80
5678901249,Gaurav Dube,7232109876,4,100
6789012360,Chitra Iyer,6121098765,6,90
7890123471,Naveen Kumar,9010987654,2,55
8901234581,Sweta Pal,7909876543,5,70
9012345693,Mohan Lal,9898765432,3,85
0123456804,Radha Devi,8787654321,1,100
1234567905,Pramod Singh,7676543210,4,60
2345678917,Anu Sharma,6565432109,6,75
3456789028,Suman Rawat,9454321098,2,80
4567890139,Amitabh Das,8343210987,5,100
5678901250,Ritu Negi,7232109876,3,65
6789012361,Vinita Rao,6121098765,1,90
7890123472,Sachin Vohra,9010987654,4,70
8901234582,Pankaj Goyal,7909876543,6,85
9012345694,Neetu Bala,9898765432,2,100
0123456805,Mahesh Kulkarni,8787654321,5,60
1234567906,Shobha Menon,7676543210,3,75
2345678918,Rajiv Saxena,6565432109,1,80
3456789029,Anjali Thakur,9454321098,4,100
4567890140,Suresh Jha,8343210987,6,90
5678901251,Priya Bedi,7232109876,2,55
6789012362,Vikrant Chawla,6121098765,5,70
7890123473,Manju Yadav,9010987654,3,85
8901234583,Nitin Mehra,7909876543,1,100
9012345695,Shalini Shah,9898765432,4,60
0123456806,Akash Dutta,8787654321,6,75
1234567907,Poonam Rani,7676543210,2,80
2345678919,Santosh Nair,6565432109,5,100
3456789030,Reema Suresh,9454321098,3,65
4567890141,Deepak Kapoor,8343210987,1,90
5678901252,Sarita Das,7232109876,4,70
6789012363,Praveen Vyas,6121098765,6,85
7890123474,Anita Raghav,9010987654,2,100
8901234584,Vijay Kohli,7909876543,5,60
9012345696,Sejal Sharma,9898765432,3,75
0123456807,Rakesh Saini,8787654321,1,80
1234567908,Monika Gupta,7676543210,4,100
2345678920,Sunita Pawar,6565432109,6,90
3456789031,Kiran Kumari,9454321098,2,55
4567890142,Ajay Sethi,8343210987,5,70
5678901253,Shilpa Patil,7232109876,3,85
6789012364,Hari Om,6121098765,1,100
7890123475,Deepa Nair,9010987654,4,60
8901234585,Vijay Raghav,7909876543,6,75
9012345697,Seema Kohli,9898765432,2,80
0123456808,Arvind Sharma,8787654321,5,100
1234567909,Neelam Tyagi,7676543210,3,65
2345678921,Rahul Bhatt,6565432109,1,90
3456789032,Sarika Jain,9454321098,4,70
4567890143,Kunal Roy,8343210987,6,85
5678901254,Meena Vyas,7232109876,2,100
6789012365,Alok Mishra,6121098765,5,60
7890123476,Pallavi Sen,9010987654,3,75
8901234586,Sanjana Rani,7909876543,1,80
9012345698,Gaurav Dube,9898765432,4,100
0123456809,Chitra Iyer,8787654321,6,90
1234567910,Naveen Kumar,7676543210,2,55
2345678922,Sweta Pal,6565432109,5,70
3456789033,Mohan Lal,9454321098,3,85
4567890144,Radha Devi,8343210987,1,100
5678901255,Pramod Singh,7232109876,4,60
6789012366,Anu Sharma,6121098765,6,75
7890123477,Suman Rawat,9010987654,2,80
8901234587,Amitabh Das,7909876543,5,100
9012345699,Ritu Negi,9898765432,3,65
0123456810,Vinita Rao,8787654321,1,90
1234567911,Sachin Vohra,7676543210,4,70
2345678923,Pankaj Goyal,6565432109,6,85
3456789034,Neetu Bala,9454321098,2,100
4567890145,Mahesh Kulkarni,8343210987,5,60
5678901256,Shobha Menon,7232109876,3,75
6789012367,Rajiv Saxena,6121098765,1,80
7890123478,Anjali Thakur,9010987654,4,100
8901234588,Suresh Jha,7909876543,6,90
9012345700,Priya Bedi,9898765432,2,55
0123456811,Vikrant Chawla,8787654321,5,70
1234567912,Manju Yadav,7676543210,3,85
2345678924,Nitin Mehra,6565432109,1,100
3456789035,Shalini Shah,9454321098,4,60
4567890146,Akash Dutta,8343210987,6,75
5678901257,Poonam Rani,7232109876,2,80
6789012368,Santosh Nair,6121098765,5,100
7890123479,Reema Suresh,9010987654,3,65
8901234589,Deepak Kapoor,7909876543,1,90
9012345701,Sarita Das,9898765432,4,70
0123456812,Praveen Vyas,8787654321,6,85
1234567913,Anita Raghav,7676543210,2,100
2345678925,Vijay Kohli,6565432109,5,60
3456789036,Sejal Sharma,9454321098,3,75
4567890147,Rakesh Saini,8343210987,1,80
5678901258,Monika Gupta,7232109876,4,100
6789012369,Sunita Pawar,6121098765,6,90
7890123480,Kiran Kumari,9010987654,2,55
8901234590,Ajay Sethi,7909876543,5,70
9012345702,Shilpa Patil,9898765432,3,85
0123456813,Hari Om,8787654321,1,100
1234567914,Deepa Nair,7676543210,4,60
2345678926,Vijay Raghav,6565432109,6,75
3456789037,Seema Kohli,9454321098,2,80
4567890148,Arvind Sharma,8343210987,5,100
5678901259,Neelam Tyagi,7232109876,3,65
6789012370,Rahul Bhatt,6121098765,1,90
7890123481,Sarika Jain,9010987654,4,70
8901234591,Kunal Roy,7909876543,6,85
9012345703,Meena Vyas,9898765432,2,100
0123456814,Alok Mishra,8787654321,5,60
1234567915,Pallavi Sen,7676543210,3,75
2345678927,Sanjana Rani,6565432109,1,80
3456789038,Gaurav Dube,9454321098,4,100
4567890149,Chitra Iyer,8343210987,6,90
5678901260,Naveen Kumar,7232109876,2,55
6789012371,Sweta Pal,6121098765,5,70
7890123482,Mohan Lal,9010987654,3,85
8901234592,Radha Devi,7909876543,1,100
9012345704,Pramod Singh,9898765432,4,60
0123456815,Anu Sharma,8787654321,6,75
1234567916,Suman Rawat,7676543210,2,80
2345678928,Amitabh Das,6565432109,5,100
3456789039,Ritu Negi,9454321098,3,65
4567890150,Vinita Rao,8343210987,1,90
5678901261,Sachin Vohra,7232109876,4,70
6789012372,Pankaj Goyal,6121098765,6,85
7890123483,Neetu Bala,9010987654,2,100
8901234593,Mahesh Kulkarni,7909876543,5,60
9012345705,Shobha Menon,9898765432,3,75
0123456816,Rajiv Saxena,8787654321,1,80
1234567917,Anjali Thakur,7676543210,4,100
2345678929,Suresh Jha,6565432109,6,90
3456789040,Priya Bedi,9454321098,2,55
4567890151,Vikrant Chawla,8343210987,5,70
5678901262,Manju Yadav,7232109876,3,85
6789012373,Nitin Mehra,6121098765,1,100
7890123484,Shalini Shah,9010987654,4,60
8901234594,Akash Dutta,7909876543,6,75
9012345706,Poonam Rani,9898765432,2,80
0123456817,Santosh Nair,8787654321,5,100
1234567918,Reema Suresh,7676543210,3,65
2345678930,Deepak Kapoor,6565432109,1,90
3456789041,Sarita Das,9454321098,4,70
4567890152,Praveen Vyas,8343210987,6,85
5678901263,Anita Raghav,7232109876,2,100
6789012374,Vijay Kohli,6121098765,5,60
7890123485,Sejal Sharma,9010987654,3,75
8901234595,Rakesh Saini,7909876543,1,80
9012345707,Monika Gupta,9898765432,4,100
0123456818,Sunita Pawar,8787654321,6,90
1234567919,Kiran Kumari,7676543210,2,55
2345678931,Ajay Sethi,6565432109,5,70
3456789042,Shilpa Patil,9454321098,3,85
4567890153,Hari Om,8343210987,1,100
5678901264,Deepa Nair,7232109876,4,60
6789012375,Vijay Raghav,6121098765,6,75
7890123486,Seema Kohli,9010987654,2,80
8901234596,Arvind Sharma,7909876543,5,100
9012345708,Neelam Tyagi,9898765432,3,65
0123456819,Rahul Bhatt,8787654321,1,90
1234567920,Sarika Jain,7676543210,4,70
2345678932,Kunal Roy,6565432109,6,85
3456789043,Meena Vyas,9454321098,2,100
4567890154,Alok Mishra,8343210987,5,60
5678901265,Pallavi Sen,7232109876,3,75
6789012376,Sanjana Rani,6121098765,1,80
7890123487,Gaurav Dube,9010987654,4,100
8901234597,Chitra Iyer,7909876543,6,90
9012345709,Naveen Kumar,9898765432,2,55
0123456820,Sweta Pal,8787654321,5,70
1234567921,Mohan Lal,7676543210,3,85
2345678933,Radha Devi,6565432109,1,100
3456789044,Pramod Singh,9454321098,4,60
4567890155,Anu Sharma,8343210987,6,75
5678901266,Suman Rawat,7232109876,2,80
6789012377,Amitabh Das,6121098765,5,100
7890123488,Ritu Negi,9010987654,3,65
8901234598,Vinita Rao,7909876543,1,90
9012345710,Sachin Vohra,9898765432,4,70
0123456821,Pankaj Goyal,8787654321,6,85
1234567922,Neetu Bala,7676543210,2,100
2345678934,Mahesh Kulkarni,6565432109,5,60
3456789045,Shobha Menon,9454321098,3,75
4567890156,Rajiv Saxena,8343210987,1,80
5678901267,Anjali Thakur,7232109876,4,100
6789012378,Suresh Jha,6121098765,6,90
7890123489,Priya Bedi,9010987654,2,55
8901234599,Vikrant Chawla,7909876543,5,70
9012345711,Manju Yadav,9898765432,3,85
0123456822,Nitin Mehra,8787654321,1,100
1234567923,Shalini Shah,7676543210,4,60
2345678935,Akash Dutta,6565432109,6,75
3456789046,Poonam Rani,9454321098,2,80
4567890157,Santosh Nair,8343210987,5,100
5678901268,Reema Suresh,7232109876,3,65
6789012379,Deepak Kapoor,6121098765,1,90
7890123490,Sarita Das,9010987654,4,70
8901234600,Praveen Vyas,7909876543,6,85
9012345712,Anita Raghav,9898765432,2,100
0123456823,Vijay Kohli,8787654321,5,60
1234567924,Sejal Sharma,7676543210,3,75
2345678936,Rakesh Saini,6565432109,1,80
3456789047,Monika Gupta,9454321098,4,100
4567890158,Sunita Pawar,8343210987,6,90
