card_number,activity_type,details,timestamp
admin,login,Admin login,2025-10-17 11:06:07
9423434923,login,User login,2025-10-20 10:39:24
admin,login,Admin login,2025-10-20 10:40:23
7451814137,login,User login,2025-10-20 10:42:42
3256923259,signup,User signed up,2025-10-20 10:43:50
3256923259,login,User login,2025-10-20 10:43:58
3256923259,booking,Booked at KPHB on 2025-10-28 Evening,2025-10-20 10:44:20
admin,login,Admin login,2025-10-20 10:44:39
KPHB,login,Distributor login for KPHB,2025-10-20 10:45:42
admin,login,Admin login,2025-10-20 11:06:36
1234567890,signup,User signed up,2025-10-20 11:08:45
1234567890,login,User login,2025-10-20 11:08:53
1234567890,booking,Booked at Gandi on 2025-10-26 Evening,2025-10-20 11:10:10
2345678901,signup,User signed up,2025-10-20 11:10:53
2345678901,login,User login,2025-10-20 11:11:01
2345678901,booking,Booked at Gandi on 2025-10-27 Evening,2025-10-20 11:11:21
3456789012,signup,User signed up,2025-10-20 11:11:44
3456789012,login,User login,2025-10-20 11:11:52
3456789012,booking,Booked at Gandi on 2025-10-28 Evening,2025-10-20 11:12:04
4567890123,signup,User signed up,2025-10-20 11:12:34
4567890123,login,User login,2025-10-20 11:12:42
4567890123,booking,Booked at Gandi on 2025-10-29 Evening,2025-10-20 11:13:21
5678901234,signup,User signed up,2025-10-20 11:14:13
5678901234,login,User login,2025-10-20 11:14:20
5678901234,booking,Booked at Gandi on 2025-10-30 Evening,2025-10-20 11:14:34
6789012345,signup,User signed up,2025-10-20 11:14:58
6789012345,login,User login,2025-10-20 11:15:05
6789012345,booking,Booked at Gandi on 2025-10-31 Evening,2025-10-20 11:15:22
7890123456,signup,User signed up,2025-10-20 11:15:43
7890123456,login,User login,2025-10-20 11:15:49
7890123456,booking,Booked at Gandi on 2025-10-26 Evening,2025-10-20 11:16:02
8901234567,signup,User signed up,2025-10-20 11:16:53
8901234567,login,User login,2025-10-20 11:17:00
8901234567,booking,Booked at Gandi on 2025-10-27 Evening,2025-10-20 11:17:11
9012345678,signup,User signed up,2025-10-20 11:17:27
9012345678,login,User login,2025-10-20 11:17:34
9012345678,booking,Booked at Gandi on 2025-10-28 Evening,2025-10-20 11:17:45
0123456789,signup,User signed up,2025-10-20 11:18:03
0123456789,login,User login,2025-10-20 11:18:16
0123456789,booking,Booked at Gandi on 2025-10-29 Evening,2025-10-20 11:18:28
1234567800,signup,User signed up,2025-10-20 11:18:56
1234567800,login,User login,2025-10-20 11:19:04
1234567800,booking,Booked at Gandi on 2025-10-30 Evening,2025-10-20 11:19:29
2345678902,signup,User signed up,2025-10-20 11:19:50
2345678902,login,User login,2025-10-20 11:20:06
3456789013,signup,User signed up,2025-10-20 11:20:34
3456789013,login,User login,2025-10-20 11:20:41
3456789013,booking,Booked at Gandi on 2025-10-31 Evening,2025-10-20 11:20:51
4567890124,signup,User signed up,2025-10-20 11:21:11
4567890124,login,User login,2025-10-20 11:21:18
4567890124,booking,Booked at Gandi on 2025-10-26 Evening,2025-10-20 11:21:28
5678901235,signup,User signed up,2025-10-20 11:21:58
5678901235,login,User login,2025-10-20 11:22:05
5678901235,booking,Booked at Gandi on 2025-10-27 Evening,2025-10-20 11:22:15
6789012346,signup,User signed up,2025-10-20 11:22:44
6789012346,login,User login,2025-10-20 11:22:51
6789012346,booking,Booked at Gandi on 2025-10-28 Evening,2025-10-20 11:23:03
7890123457,signup,User signed up,2025-10-20 11:23:21
7890123457,login,User login,2025-10-20 11:23:27
7890123457,booking,Booked at Gandi on 2025-10-29 Evening,2025-10-20 11:23:38
8901234568,signup,User signed up,2025-10-20 11:23:53
8901234568,login,User login,2025-10-20 11:24:02
8901234568,booking,Booked at Gandi on 2025-10-30 Evening,2025-10-20 11:24:13
9012345679,signup,User signed up,2025-10-20 11:24:31
9012345679,login,User login,2025-10-20 11:24:37
9012345679,booking,Booked at Gandi on 2025-10-31 Evening,2025-10-20 11:24:47
0123456790,signup,User signed up,2025-10-20 11:25:02
0123456790,login,User login,2025-10-20 11:25:09
0123456790,booking,Booked at Gandi on 2025-10-26 Evening,2025-10-20 11:25:18
1234567891,signup,User signed up,2025-10-20 11:25:33
1234567891,login,User login,2025-10-20 11:25:41
